YEAR,APT_NAME,Departures,Arrivals,Total
2016,Abad,128,126,254
2016,Aberdeen,30900,30758,61658
2016,Agen-La Garenne,2151,2277,4428
2016,Ajaccio-Napoléon-Bonaparte,8445,8469,16914
2016,Aktion,2329,2441,4770
2016,Albacete,418,445,863
2016,Albert-Bray,587,608,1195
2016,Alicante,43420,43410,86830
2016,Almeria,4969,4983,9952
2016,Amsterdam - Schiphol,245264,245172,490436
2016,Angers-Marcé,1059,1095,2154
2016,Ankara - Esenboğa,50169,50098,100267
2016,Annecy-Meythet,1645,1786,3431
2016,Annemasse,906,786,1692
2016,Antalya,61584,61630,123214
2016,Antwerp,7910,7900,15810
2016,Asturias,5647,5646,11293
2016,Athens,91115,91128,182243
2016,Avignon-Caumont,2879,3216,6095
2016,Badajoz,643,649,1292
2016,Barcelona,153931,153874,307805
2016,Bastia-Poretta,8093,8054,16147
2016,Beauvais-Tillé,12861,12882,25743
2016,Belfast - Aldergrove,22772,22722,45494
2016,Belfast - City Airport,21232,21228,42460
2016,Belgrade - Nikola Tesla,31715,31705,63420
2016,Bergamo,39800,39838,79638
2016,Bergen,43543,43601,87144
2016,Bergerac-Roumanière,2141,2191,4332
2016,Berlin - Brandenburg,47392,47696,95088
2016,Berlin - Tegel,91931,92028,183959
2016,Biarritz-Bayonne-Anglet,7063,7118,14181
2016,Biggin Hill,6677,6699,13376
2016,Bilbao,20739,20778,41517
2016,Birmingham,55328,55380,110708
2016,Bologna,34584,34547,69131
2016,Bordeaux-Mérignac,32250,32285,64535
2016,Bratislava,10455,10496,20951
2016,Bremen,16324,16428,32752
2016,Brest-Bretagne,7730,7679,15409
2016,Brindisi,8926,8929,17855
2016,Bristol,32317,32684,65001
2016,Brive-Souillac,1635,1682,3317
2016,Brno-Tuřany,4593,4632,9225
2016,Brussels,109057,109063,218120
2016,Bucharest - Băneasa,1690,1686,3376
2016,Bucharest - Otopeni,53877,53833,107710
2016,Budapest - Ferihegy,47894,47849,95743
2016,Burgos,62,66,128
2016,Bydgoszcz,1640,1650,3290
2016,Bâle-Mulhouse,38694,38677,77371
2016,Béziers-Vias,2786,2854,5640
2016,Caen-Carpiquet,2705,2757,5462
2016,Calvi-Sainte-Catherine,3120,3133,6253
2016,Cannes-Mandelieu,6862,6876,13738
2016,Carcassonne-Salvaza,2531,2613,5144
2016,Cascais,2152,1860,4012
2016,Catania,30803,30788,61591
2016,Chambéry-Aix-les-Bains,3256,3346,6602
2016,Charleroi,24880,24859,49739
2016,Chișinău,11128,11170,22298
2016,Châlons-Vatry,1905,1939,3844
2016,Châteauroux-Déols,1164,1232,2396
2016,Clermont-Ferrand-Auvergne,6562,6610,13172
2016,Cologne-Bonn,66990,67403,134393
2016,Connaught,3200,3208,6408
2016,Copenhagen - Kastrup,132849,132919,265768
2016,Cordoba,104,99,203
2016,Corfu,11074,10998,22072
2016,Cork,11902,11896,23798
2016,Deauville-Normandie,1859,1938,3797
2016,Dinard-Pleurtuit-Saint-Malo,1723,1739,3462
2016,Donegal,952,959,1911
2016,Dresden,11360,11395,22755
2016,Dublin,107001,107047,214048
2016,Dusseldorf,108488,108553,217041
2016,Dôle-Tavaux,1313,1362,2675
2016,East Midlands,32589,32735,65324
2016,Edinburgh,60611,60608,121219
2016,Erfurt,2521,2590,5111
2016,Farnborough,11944,11926,23870
2016,Faro,26494,26515,53009
2016,Figari-Sud Corse,5229,5278,10507
2016,Flores,747,747,1494
2016,Frankfurt,231422,231481,462903
2016,Fuerteventura,22229,22242,44471
2016,Gdansk,18906,18945,37851
2016,Geneva,91555,91524,183079
2016,Gerona,6632,6811,13443
2016,Glasgow,46290,46214,92504
2016,Gran Canaria,54813,54620,109433
2016,Granada,4145,4159,8304
2016,Graz,9158,9195,18353
2016,Grenoble-Isère,3170,3206,6376
2016,Groningen,4471,4523,8994
2016,Göteborg,35281,35294,70575
2016,Hamburg,76116,76207,152323
2016,Hanover,30914,31021,61935
2016,Haugesund,3485,3485,6970
2016,Helsinki - Vantaa,84285,84296,168581
2016,Heraklion,25381,25368,50749
2016,Hierro,1665,1691,3356
2016,Horta,2244,2271,4515
2016,Hyères-Le Palyvestre,5405,5412,10817
2016,Ibiza,34676,34692,69368
2016,Innsbruck,9417,9433,18850
2016,Istanbul Atatürk,227479,227431,454910
2016,Istanbul Sabiha Gökçen,112708,112632,225340
2016,Istres-Le Tubé,1905,1879,3784
2016,Izmir - Adnan Menderes,39975,40028,80003
2016,Jerez De La Frontera,7151,7158,14309
2016,Karlovy Vary,894,927,1821
2016,Katowice - Pyrzowice,14099,14131,28230
2016,Kaunas,3559,3557,7116
2016,Kefallinia,2649,2695,5344
2016,Kerry - Farranfore,2044,2048,4092
2016,Khania - Souda,13214,13242,26456
2016,Kiev - Boryspil,37169,37190,74359
2016,Klagenfurt,3387,3376,6763
2016,Kos,7725,7722,15447
2016,Krakow - Balice,22513,22529,45042
2016,La Coruna,5306,5381,10687
2016,La Gomera,715,721,1436
2016,La Palma,7946,7959,15905
2016,La Rochelle-Ile de Ré,2562,2593,5155
2016,Lannion,728,748,1476
2016,Lanzarote,26694,26697,53391
2016,Larnaca,27158,27203,54361
2016,Le Havre-Octeville,474,509,983
2016,Le Mans,730,776,1506
2016,Leipzig-Halle,30813,30834,61647
2016,Leon,518,522,1040
2016,Liepaja,3,2,5
2016,Lille-Lesquin,11998,11977,23975
2016,Limoges-Bellegarde,3258,3292,6550
2016,Linz,6255,6303,12558
2016,Lisbon,91206,91343,182549
2016,Liège,16362,16376,32738
2016,Ljubljana,13620,13638,27258
2016,Lleida - Alguaire,218,232,450
2016,Lodz - Lublinek,2347,2347,4694
2016,Logrono,338,337,675
2016,London - City,42504,42503,85007
2016,London - Gatwick,140031,140049,280080
2016,London - Heathrow,237524,237540,475064
2016,London - Luton,65452,65462,130914
2016,London - Stansted,89487,89481,178968
2016,Londonderry - Eglinton,1072,1073,2145
2016,Lorient-Lann Bihoué,2979,2931,5910
2016,Lublin,1634,1643,3277
2016,Luxembourg,32762,32790,65552
2016,Lučko,268,237,505
2016,Lyon-Bron,4730,4728,9458
2016,Lyon-Saint-Exupéry,55346,55292,110638
2016,Maastricht-Aachen,4181,4230,8411
2016,Madeira,12209,12228,24437
2016,Madrid - Barajas,189062,189016,378078
2016,Madrid - Cuatro Viento,1023,978,2001
2016,Madrid - Getafe,1197,1136,2333
2016,Madrid - Torrejon,885,952,1837
2016,Mahon,15512,15506,31018
2016,Malta,22210,22292,44502
2016,Manchester,96071,96083,192154
2016,Maribor,772,795,1567
2016,Marseille-Provence,48251,48030,96281
2016,Melilla,4109,4118,8227
2016,Metz-Nancy-Lorraine,2925,2959,5884
2016,Mikonos,6529,6518,13047
2016,Milan - Linate,58538,58563,117101
2016,Milan - Malpensa,83395,83375,166770
2016,Montpellier-Méditerranée,14124,14199,28323
2016,Muenster-Osnabrueck,8402,8785,17187
2016,Munich,195885,195859,391744
2016,Murcia San Javier,4107,4130,8237
2016,Málaga,61043,60990,122033
2016,Nantes-Atlantique,26595,26610,53205
2016,Naples,31429,31442,62871
2016,Nice-Côte d’Azur,69787,69762,139549
2016,Noain Pamplona,1706,1690,3396
2016,Nuremberg,24763,25021,49784
2016,Nîmes-Garons,2192,2130,4322
