YEAR,STATE_NAME,Departures,Arrivals,Total
2016,Albania,11159,11160,22319
2016,Armenia,9267,9139,18406
2016,Austria,162961,163091,326052
2016,Belgium,161546,161582,323128
2016,Bosnia and Herzegovina,5305,5317,10622
2016,Bulgaria,25307,25294,50601
2016,Croatia,20066,20057,40123
2016,Cyprus,35138,35170,70308
2016,Czech Republic,74643,74788,149431
2016,Denmark,132849,132919,265768
2016,Estonia,19307,19291,38598
2016,Finland,84285,84296,168581
2016,France,904860,905535,1810395
2016,Georgia,11943,11882,23825
2016,Germany,1007533,1009551,2017084
2016,Greece,220303,220513,440816
2016,Hungary,47894,47849,95743
2016,Ireland,136978,137080,274058
2016,Italy,565693,565595,1131288
2016,Latvia,33867,33925,67792
2016,Lithuania,26566,26561,53127
2016,Luxembourg,32762,32790,65552
2016,Malta,22210,22292,44502
2016,Moldova,11128,11170,22298
2016,Montenegro,5708,5707,11415
2016,Netherlands,266778,266854,533632
2016,Norway,232153,232187,464340
2016,Poland,177172,177216,354388
2016,Portugal,185434,185384,370818
2016,Republic of North Macedonia,7609,7611,15220
2016,Romania,55567,55519,111086
2016,Serbia,31715,31705,63420
2016,Slovakia,10455,10496,20951
2016,Slovenia,15112,15170,30282
2016,Spain,927670,927443,1855113
2016,Sweden,178945,179028,357973
2016,Switzerland,225616,225462,451078
2016,Türkiye,491915,491819,983734
2016,Ukraine,37169,37190,74359
2016,United Kingdom,1013575,1013940,2027515
2017,Albania,12275,12284,24559
2017,Armenia,10620,10590,21210
2017,Austria,163860,164026,327886
2017,Belgium,168371,168357,336728
2017,Bosnia and Herzegovina,5927,5933,11860
2017,Bulgaria,28382,28392,56774
2017,Croatia,20860,20834,41694
2017,Cyprus,39505,39501,79006
2017,Czech Republic,81658,81860,163518
2017,Denmark,129611,129699,259310
2017,Estonia,21688,21687,43375
2017,Finland,88305,88692,176997
2017,France,918431,919011,1837442
2017,Georgia,16110,16110,32220
2017,Germany,1023340,1025506,2048846
2017,Greece,230253,230318,460571
2017,Hungary,51130,51136,102266
2017,Ireland,141666,141708,283374
2017,Italy,580698,580447,1161145
2017,Latvia,37347,37377,74724
2017,Lithuania,27987,28004,55991
2017,Luxembourg,35299,35368,70667
2017,Malta,25410,25379,50789
2017,Moldova,13565,13594,27159
2017,Montenegro,6460,6454,12914
2017,Netherlands,274602,274745,549347
2017,Norway,230673,230740,461413
2017,Poland,193048,193103,386151
2017,Portugal,205488,205518,411006
2017,Republic of North Macedonia,8194,8210,16404
2017,Romania,60111,60052,120163
2017,Serbia,32042,32038,64080
2017,Slovakia,11084,11126,22210
2017,Slovenia,16890,16962,33852
2017,Spain,980831,980719,1961550
2017,Sweden,187353,187407,374760
2017,Switzerland,226612,226464,453076
2017,Türkiye,507317,507260,1014577
2017,Ukraine,43784,43809,87593
2017,United Kingdom,1040621,1040810,2081431
2018,Albania,12758,12757,25515
2018,Armenia,11511,11500,23011
2018,Austria,171616,171715,343331
2018,Belgium,169861,169899,339760
2018,Bosnia and Herzegovina,6149,6144,12293
2018,Bulgaria,29809,29771,59580
2018,Croatia,21768,21764,43532
2018,Cyprus,41336,41341,82677
2018,Czech Republic,84946,85084,170030
2018,Denmark,133047,133160,266207
2018,Estonia,23266,23251,46517
2018,Finland,96245,96249,192494
2018,France,927668,928363,1856031
2018,Georgia,18959,19000,37959
2018,Germany,1063669,1066167,2129836
2018,Greece,252129,252282,504411
2018,Hungary,57264,57210,114474
2018,Ireland,146983,146978,293961
2018,Israel,78146,78280,156426
2018,Italy,601954,601789,1203743
2018,Latvia,41725,41758,83483
2018,Lithuania,30872,30907,61779
2018,Luxembourg,37406,37469,74875
2018,Malta,28420,28248,56668
2018,Moldova,14005,14028,28033
2018,Montenegro,7061,7044,14105
2018,Morocco,90634,90640,181274
2018,Netherlands,280073,280094,560167
2018,Norway,367314,367377,734691
2018,Poland,214235,214268,428503
2018,Portugal,215936,215953,431889
2018,Republic of North Macedonia,8929,8907,17836
2018,Romania,63748,63666,127414
2018,Serbia,33219,33247,66466
2018,Slovakia,11941,11965,23906
2018,Slovenia,17705,17773,35478
2018,Spain,1036001,1036031,2072032
2018,Sweden,185382,185466,370848
2018,Switzerland,229194,229084,458278
2018,Türkiye,533593,533715,1067308
2018,Ukraine,48626,48622,97248
2018,United Kingdom,1063044,1063005,2126049
2019,Albania,14248,14252,28500
2019,Armenia,12779,12777,25556
2019,Austria,182783,182978,365761
2019,Belgium,169596,169598,339194
2019,Bosnia and Herzegovina,6460,6458,12918
2019,Bulgaria,30162,30104,60266
2019,Croatia,22627,22589,45216
2019,Cyprus,40154,40181,80335
2019,Czech Republic,83288,83483,166771
2019,Denmark,131691,131743,263434
2019,Estonia,22774,22760,45534
2019,Finland,97320,97314,194634
2019,France,938324,938925,1877249
2019,Georgia,18082,18083,36165
2019,Germany,1063232,1065455,2128687
2019,Greece,254113,254337,508450
2019,Hungary,61080,61052,122132
2019,Ireland,150552,150572,301124
2019,Israel,83419,83348,166767
2019,Italy,615992,615777,1231769
2019,Latvia,43769,43776,87545
2019,Lithuania,31643,31695,63338
2019,Luxembourg,38116,38184,76300
2019,Malta,29286,28895,58181
2019,Moldova,13657,13697,27354
2019,Montenegro,7275,7282,14557
2019,Morocco,99607,99582,199189
2019,Netherlands,279091,279035,558126
2019,Norway,363318,363477,726795
2019,Poland,221768,221911,443679
2019,Portugal,221350,221235,442585
2019,Republic of North Macedonia,9420,9425,18845
2019,Romania,64478,64541,129019
2019,Serbia,35490,35488,70978
2019,Slovakia,11272,11321,22593
2019,Slovenia,16026,16076,32102
2019,Spain,1059104,1058898,2118002
2019,Sweden,177028,177042,354070
2019,Switzerland,227355,227272,454627
2019,Türkiye,530464,530465,1060929
2019,Ukraine,55527,55515,111042
2019,United Kingdom,1057911,1057682,2115593
2020,Albania,7641,7647,15288
2020,Armenia,4686,4687,9373
2020,Austria,75658,75768,151426
2020,Belgium,83090,83126,166216
2020,Bosnia and Herzegovina,2694,2689,5383
2020,Bulgaria,17510,17474,34984
2020,Croatia,11149,11162,22311
2020,Cyprus,15796,15787,31583
2020,Czech Republic,30501,30704,61205
2020,Denmark,49097,49107,98204
2020,Estonia,10040,10057,20097
2020,Finland,36386,36403,72789
2020,France,440871,441829,882700
2020,Georgia,5447,5433,10880
2020,Germany,436593,438869,875462
2020,Greece,114567,114992,229559
2020,Hungary,23873,23897,47770
2020,Ireland,57191,57292,114483
2020,Israel,27059,27060,54119
2020,Italy,240096,240438,480534
2020,Latvia,17898,17898,35796
2020,Lithuania,15517,15599,31116
2020,Luxembourg,20148,20187,40335
2020,Malta,12217,12090,24307
2020,Moldova,4911,4917,9828
2020,Montenegro,2908,2908,5816
2020,Morocco,35161,34997,70158
2020,Netherlands,132898,133045,265943
2020,Norway,234870,235050,469920
2020,Poland,97122,97281,194403
2020,Portugal,96945,96687,193632
2020,Republic of North Macedonia,4122,4128,8250
2020,Romania,28311,28345,56656
2020,Serbia,17056,17073,34129
2020,Slovakia,4505,4548,9053
2020,Slovenia,6540,6619,13159
2020,Spain,447505,447367,894872
2020,Sweden,64418,64391,128809
2020,Switzerland,94863,94693,189556
2020,Türkiye,246303,246440,492743
2020,Ukraine,23495,23478,46973
2020,United Kingdom,408483,408713,817196
2021,Albania,13093,13097,26190
2021,Armenia,9719,9720,19439
2021,Austria,86225,86480,172705
2021,Belgium,104674,104706,209380
2021,Bosnia and Herzegovina,5347,5334,10681
2021,Bulgaria,19939,19949,39888
2021,Croatia,14874,14897,29771
2021,Cyprus,25810,25819,51629
2021,Czech Republic,35437,35638,71075
2021,Denmark,54932,54938,109870
2021,Estonia,11911,11898,23809
2021,Finland,36134,36162,72296
2021,France,561439,562675,1124114
2021,Georgia,10632,10648,21280
2021,Germany,483557,485978,969535
2021,Greece,185329,185451,370780
2021,Hungary,27276,27267,54543
2021,Ireland,58394,58399,116793
2021,Israel,37478,37472,74950
2021,Italy,339203,339902,679105
2021,Latvia,19516,19514,39030
2021,Lithuania,17385,17395,34780
2021,Luxembourg,23836,23848,47684
2021,Malta,16274,16225,32499
2021,Moldova,8394,8405,16799
2021,Montenegro,4111,4121,8232
2021,Morocco,49583,49566,99149
2021,Netherlands,156844,156892,313736
2021,Norway,253447,253694,507141
2021,Poland,118961,119163,238124
2021,Portugal,127859,127758,255617
2021,Republic of North Macedonia,6663,6664,13327
2021,Romania,38813,38824,77637
2021,Serbia,24696,24671,49367
2021,Slovakia,5484,5496,10980
2021,Slovenia,8457,8507,16964
2021,Spain,627167,627283,1254450
2021,Sweden,70249,70271,140520
2021,Switzerland,111860,111753,223613
2021,Türkiye,369145,368987,738132
2021,Ukraine,37918,37899,75817
2021,United Kingdom,405250,405912,811162
2022,Albania,16380,16372,32752
2022,Armenia,14115,14110,28225
2022,Austria,115173,115450,230623
2022,Belgium,121338,121293,242631
2022,Bosnia and Herzegovina,6561,6558,13119
2022,Bulgaria,22277,22282,44559
2022,Croatia,17608,17595,35203
2022,Cyprus,31179,31182,62361
2022,Czech Republic,47867,48038,95905
2022,Denmark,84947,84975,169922
2022,Estonia,15130,15129,30259
2022,Finland,55172,55161,110333
2022,France,679108,680798,1359906
2022,Georgia,12064,12071,24135
2022,Germany,627482,629689,1257171
2022,Greece,232616,232808,465424
2022,Hungary,41280,41236,82516
2022,Ireland,111362,111402,222764
2022,Israel,59270,59209,118479
2022,Italy,475004,475514,950518
2022,Latvia,23367,23379,46746
2022,Lithuania,22769,22777,45546
2022,Luxembourg,29399,29456,58855
2022,Malta,20617,20663,41280
2022,Moldova,7802,7811,15613
2022,Montenegro,5237,5242,10479
2022,Morocco,65260,65250,130510
2022,Netherlands,198015,198062,396077
2022,Norway,279697,279996,559693
2022,Poland,162494,162526,325020
2022,Portugal,181512,181407,362919
2022,Republic of North Macedonia,7158,7149,14307
2022,Romania,45393,45416,90809
2022,Serbia,27783,27740,55523
2022,Slovakia,7559,7561,15120
2022,Slovenia,9198,9238,18436
2022,Spain,832996,832998,1665994
2022,Sweden,104294,104293,208587
2022,Switzerland,157701,157675,315376
2022,Türkiye,404856,404816,809672
2022,Ukraine,5010,4981,9991
2022,United Kingdom,708265,708573,1416838
