2,Albanië,Armenië,Oostenrijk,België/Luxemburg,Bosnia and Herzegovina,Bulgarije,Kroatië,Cyprus,Tsjechië,Denemarken,Estland,Finland,Frankrijk,Georgië,Duitsland,Griekenland,Hongarije,Ierland,Israël,Italië,Letland,Portugal,Litouwen,Malta,Moldavië,Marokko,Nederland,Noord-Macedonië,Noorwegen,Polen,Roemenië,Servië/Montenegro,Slowakije,Slovenië,Spanje,Zweden,Zwitserland,Türkiye,Verenigd Koninkrijk,Oekraïne
2014,198000.0,51000.0,1152000.0,1133000.0,298000.0,683000.0,520000.0,304000.0,700000.0,619000.0,191000.0,248000.0,2947000.0,116000.0,3030000.0,678000.0,670000.0,537000.0,122000.0,1680000.0,243000.0,480000.0,257000.0,102000.0,56000.0,359000.0,1138000.0,146000.0,619000.0,702000.0,598000.0,554000.0,436000.0,348000.0,,739000.0,1033000.0,1269000.0,2269000.0,320000.0
2015,202000.0,42000.0,1168000.0,1165000.0,311000.0,767000.0,535000.0,319000.0,746000.0,626000.0,194000.0,248000.0,2992000.0,122000.0,3080000.0,713000.0,744000.0,566000.0,131000.0,1696000.0,244000.0,505000.0,260000.0,102000.0,45000.0,361000.0,1176000.0,152000.0,603000.0,699000.0,635000.0,605000.0,468000.0,347000.0,,751000.0,1046000.0,1356000.0,2322000.0,213000.0
2016,187000.0,39000.0,1174000.0,1188000.0,319000.0,758000.0,540000.0,322000.0,797000.0,640000.0,200000.0,247000.0,3124000.0,126000.0,3146000.0,700000.0,776000.0,610000.0,144000.0,1734000.0,246000.0,559000.0,261000.0,110000.0,42000.0,383000.0,1241000.0,146000.0,599000.0,755000.0,621000.0,619000.0,498000.0,353000.0,,767000.0,1069000.0,1336000.0,2449000.0,195000.0
2017,194000.0,55000.0,1232000.0,1240000.0,359000.0,783000.0,587000.0,360000.0,817000.0,647000.0,215000.0,263000.0,3241000.0,142000.0,3259000.0,745000.0,822000.0,621000.0,171000.0,1786000.0,268000.0,613000.0,277000.0,116000.0,50000.0,411000.0,1287000.0,171000.0,591000.0,793000.0,673000.0,654000.0,515000.0,386000.0,,808000.0,1110000.0,1416000.0,2534000.0,232000.0
2018,206000.0,68000.0,1301000.0,1275000.0,389000.0,871000.0,647000.0,394000.0,877000.0,670000.0,232000.0,283000.0,3328000.0,153000.0,3404000.0,832000.0,904000.0,635000.0,197000.0,1880000.0,290000.0,634000.0,301000.0,125000.0,55000.0,431000.0,1329000.0,193000.0,594000.0,872000.0,738000.0,716000.0,567000.0,423000.0,,831000.0,1167000.0,1531000.0,2558000.0,274000.0
2019,221000.0,67000.0,1365000.0,1249000.0,432000.0,879000.0,714000.0,411000.0,867000.0,669000.0,229000.0,285000.0,3372000.0,138000.0,3394000.0,884000.0,892000.0,647000.0,205000.0,1962000.0,298000.0,651000.0,303000.0,130000.0,55000.0,443000.0,1332000.0,223000.0,591000.0,912000.0,747000.0,764000.0,562000.0,460000.0,,823000.0,1177000.0,1547000.0,2580000.0,306000.0
2020,102000.0,21000.0,590000.0,541000.0,184000.0,376000.0,301000.0,164000.0,340000.0,275000.0,97000.0,119000.0,1390000.0,65000.0,1479000.0,383000.0,381000.0,263000.0,67000.0,782000.0,131000.0,267000.0,139000.0,56000.0,22000.0,179000.0,596000.0,95000.0,344000.0,377000.0,320000.0,337000.0,201000.0,195000.0,,351000.0,477000.0,693000.0,1029000.0,125000.0
2021,154000.0,34000.0,739000.0,639000.0,263000.0,516000.0,461000.0,252000.0,404000.0,300000.0,110000.0,123000.0,1813000.0,85000.0,1712000.0,569000.0,491000.0,300000.0,102000.0,1106000.0,164000.0,345000.0,178000.0,72000.0,33000.0,253000.0,653000.0,155000.0,374000.0,473000.0,454000.0,476000.0,271000.0,279000.0,1192000.0,380000.0,623000.0,1011000.0,1063000.0,212000.0
2022.0,242000.0,79000.0,1274000.0,1025000.0,427000.0,807000.0,713000.0,344000.0,633000.0,515000.0,152000.0,213000.0,2967000.0,147000.0,2758000.0,898000.0,912000.0,596000.0,186000.0,1852000.0,198000.0,621000.0,197000.0,102000.0,21000.0,426000.0,1105000.0,232000.0,548000.0,634000.0,637000.0,777000.0,475000.0,451000.0,1945000.0,597000.0,1034000.0,1387000.0,2187000.0,31000.0
2023.0,283000.0,96000.0,1591000.0,1239000.0,513000.0,997000.0,851000.0,424000.0,812000.0,671000.0,200000.0,274000.0,3483000.0,197000.0,3424000.0,1041000.0,1139000.0,697000.0,239000.0,2176000.0,262000.0,698000.0,248000.0,125000.0,27000.0,500000.0,1351000.0,277000.0,637000.0,788000.0,788000.0,922000.0,590000.0,547000.0,2263000.0,779000.0,1244000.0,1650000.0,2661000.0,1000.0
2024.0,298000.0,102000.0,1686000.0,1307000.0,540000.0,1049000.0,900000.0,443000.0,861000.0,695000.0,224000.0,301000.0,3696000.0,212000.0,3637000.0,1085000.0,1198000.0,739000.0,251000.0,2295000.0,292000.0,743000.0,268000.0,130000.0,28000.0,531000.0,1416000.0,290000.0,648000.0,830000.0,830000.0,966000.0,620000.0,582000.0,2399000.0,817000.0,1311000.0,1759000.0,2841000.0,1000.0
2025.0,310000.0,107000.0,1730000.0,1346000.0,560000.0,1084000.0,930000.0,467000.0,888000.0,710000.0,230000.0,308000.0,3829000.0,221000.0,3731000.0,1123000.0,1237000.0,760000.0,266000.0,2378000.0,300000.0,778000.0,276000.0,135000.0,29000.0,556000.0,1440000.0,301000.0,653000.0,857000.0,858000.0,997000.0,642000.0,600000.0,2515000.0,837000.0,1350000.0,1833000.0,2913000.0,1000.0
